TIME,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,BIKE USAGE
2020-03-13,1019520,641917,375927,930.0
2020-03-14,1019520,634888,384113,583.0
2020-03-15,1019520,635497,383777,565.0
2020-03-16,729240,457806,270229,543.0
2020-03-17,768180,478402,289743,411.0
2020-03-18,1019520,637738,380455,853.0
2020-03-19,1019520,638192,380455,801.0
2020-03-20,1019520,634475,384038,627.0
2020-03-21,1019520,627596,391589,567.0
2020-03-22,1019520,631698,387655,518.0
2020-03-23,1019520,630646,386835,672.0
2020-03-24,1019520,632741,385152,664.0
2020-03-25,1019520,635048,382877,679.0
2020-03-26,1019520,635387,383285,623.0
2020-03-27,1019520,634661,384289,530.0
2020-03-28,1019520,628598,390717,261.0
2020-03-29,1019520,628104,390976,243.0
2020-03-30,1019520,635845,379735,396.0
2020-03-31,1019520,654632,360019,404.0
2020-04-01,1019520,674501,341787,403.0
2020-04-02,1019520,689444,326479,436.0
2020-04-03,1019520,699407,319888,399.0
2020-04-04,1019520,700031,319052,335.0
2020-04-05,1019520,699800,319131,279.0
2020-04-06,1019520,701890,315941,391.0
2020-04-07,1019520,702923,315273,384.0
2020-04-08,1019520,703818,313886,427.0
2020-04-09,1019520,701689,315834,404.0
2020-04-10,1019520,703150,315749,398.0
2020-04-11,1019520,707626,311355,454.0
2020-04-12,1019520,699532,319501,210.0
2020-04-13,1019520,702746,316308,374.0
2020-04-14,1019520,703817,313526,389.0
2020-04-15,1019520,704329,313557,461.0
2020-04-16,1019520,703662,314383,431.0
2020-04-17,1019520,702472,315438,400.0
2020-04-18,1019520,700921,318191,389.0
2020-04-19,1019520,703764,315136,393.0
2020-04-20,1019520,700610,316359,417.0
2020-04-21,1019520,701654,315472,419.0
2020-04-22,1019520,702672,315229,427.0
2020-04-23,1019520,704126,313177,414.0
2020-04-24,1019520,703850,314312,480.0
2020-04-25,1019520,709769,309240,460.0
2020-04-26,1019520,705528,313794,399.0
2020-04-27,1019520,707207,310140,444.0
2020-04-28,1019520,705716,311988,481.0
2020-04-29,1019520,701320,316575,386.0
2020-04-30,1019520,698277,320070,392.0
2020-05-01,1019520,694151,325211,489.0
2020-05-02,1019520,699103,320240,523.0
2020-05-03,1019520,704380,314883,467.0
2020-05-04,1019520,705126,313539,469.0
2020-05-05,1019520,700388,316512,475.0
2020-05-06,1019520,698457,319238,488.0
2020-05-07,1019520,693450,323199,472.0
2020-05-08,1019520,697811,321002,574.0
2020-05-09,1019520,720640,298071,703.0
2020-05-10,1019520,689651,328942,303.0
2020-05-11,1019520,694879,323220,510.0
2020-05-12,1019520,696275,321632,511.0
2020-05-13,1019520,697936,320062,427.0
2020-05-14,1019520,704653,313509,533.0
2020-05-15,1019520,695894,323036,542.0
2020-05-16,1019520,708289,310845,548.0
2020-05-17,1019520,701983,316977,570.0
2020-05-18,1019520,694732,322707,462.0
2020-05-19,1019520,703908,312665,621.0
2020-05-20,1019520,714493,302534,724.0
2020-05-21,1019520,705117,312004,521.0
2020-05-22,1019520,697399,320441,510.0
2020-05-23,1019520,698897,320448,561.0
2020-05-24,1019520,721341,297680,643.0
2020-05-25,1019520,703155,314478,569.0
2020-05-26,1019520,699879,318137,629.0
2020-05-27,1019520,699163,318567,654.0
2020-05-28,1019520,699756,318634,709.0
2020-05-29,1019520,693379,325272,708.0
2020-05-30,1019520,708410,310524,761.0
2020-05-31,1019520,712258,306810,749.0
2020-06-01,1019520,713518,305054,665.0
2020-06-02,1019520,690982,326983,739.0
2020-06-03,1019520,675990,341777,557.0
2020-06-04,1019520,674303,344195,676.0
2020-06-05,1019520,672025,346406,578.0
2020-06-06,1019520,670023,346731,501.0
2020-06-07,1019520,681041,337772,520.0
2020-06-08,1019520,678893,339507,690.0
